Cantidad de simbolos = 4153
Longitud media = 9.394061652902844
Rendimiento = 0.9912673261159609
Redundancia = 0.008732673884039088

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
vino,				1101000000010
vino.				1101000000011
Quijote-.				1101000000100
diré.				1101000000101
pique				1101000000110
rindieron				1101000000111
echar				1101000001000
decirle				1101000001001
dices,				1101000001010
comodidad				1101000001011
-Todo				1101000001100
licencia				1101000001101
jumento,				1101000001110
oír				1101000001111
apartar				1101000010000
cerca				1101000010001
cautivo,				1101000010010
contado,				1101000010011
largo				1101000010100
alférez				1101000010101
pagar,				1101000010110
pensamientos				1101000010111
faltar				1101000011000
principalmente				1101000011001
engañado				1101000011010
viéndose				1101000011011
vestir,				1101000011100
ofrecimientos,				1101000011101
llegaba				110100001111
vivir				1101000100000
acordó				1101000100001
acabase				1101000100010
filos				1101000100011
dijeron				1101000100100
extremo				1101000100101
subió				1101000100110
cinco				1101000100111
bonetillo				1101000101000
cuidado				1101000101001
amo,				1101000101010
Nápoles,				1101000101011
Donde				1101000101100
sabe				1101000101101
pospuesto				1101000101110
verdad;				1101000101111
déjame				1101000110000
gobernador				1101000110001
privarse				1101000110010
acabado				1101000110011
matar				1101000110100
cae				1101000110101
sentar				1101000110110
Pero,				1101000110111
mundo.				1101000111000
Oyó				1101000111001
mundo,				1101000111010
criada				1101000111011
encerrada				1101000111100
palabra,				1101000111101
rendido				110100011111
guarde				1101001000000
pida				11010010000010
fingido,				11010010000011
bastante				11010010000100
furia				11010010000101
despecho,				11010010000110
muerte,				11010010000111
pie.				11010010001000
asegurar				11010010001001
aseguran				11010010001010
contrapuestos				11010010001011
-				11010010001100
esposa:				11010010001101
Ninguno				11010010001110
rodearon				11010010001111
«Quien				1101001001000
mostrar				11010010010010
favorecidos				11010010010011
despartir				11010010010100
hágase				11010010010101
guardan				11010010010110
traella;				11010010010111
notable				11010010011000
concede				11010010011001
cuello				11010010011010
embestido				11010010011011
sábana				11010010011100
mujeres,				11010010011101
entregué				11010010011110
ti,				11010010011111
premio.				1101001010000
Ella				11010010100010
hacienda.				11010010100011
cupiese.				11010010100100
ofrecieron				11010010100101
pagalle				11010010100110
Veneciano:				11010010100111
procurarles				11010010101000
contento,				11010010101001
Digo				11010010101010
resolverse				11010010101011
llevan				11010010101100
importunaciones,				11010010101101
sale				11010010101110
ofuscan				11010010101111
Capitán				11010010110000
entendimiento				11010010110001
alma,				11010010110010
conocerse				11010010110011
hablan				11010010110100
leguas				11010010110101
dónde,				11010010110110
estará				11010010110111
desventuras.				11010010111000
estaño				11010010111001
vivos,				11010010111010
serlo.				11010010111011
punto,				11010010111100
serlo,				11010010111101
faltó				11010010111110
Acudió				11010010111111
curarle;				1101001100000
¡Pues				11010011000010
viuda,				11010011000011
Mirad				11010011000100
pareció,				11010011000101
asida				11010011000110
único				11010011000111
Presa,				11010011001000
Presa.				11010011001001
licor				11010011001010
conservan				11010011001011
soldadesca				11010011001100
Mira,				11010011001101
apartarse				11010011001110
viaje,				11010011001111
ardite,				11010011010000
quitaran,				11010011010001
viaje.				11010011010010
aquí?				11010011010011
ropa				11010011010100
almas				11010011010101
contraria				11010011010110
aquí.				11010011010111
entendiendo				11010011011000
Cervellón,				11010011011001
ventero-.				11010011011010
