Cantidad de simbolos = 4153
Longitud media = 9.339847443736884
Rendimiento = 0.9970212503081027
Redundancia = 0.0029787496918972645

Diccionario de Codificación por Huffman

SIMBOLO				CODIFICACION
guarde				10100011010110
pida				10011111111010
fingido,				10001001110101
bastante				10001001111100
furia				10001001111101
despecho,				10001111110111
muerte,				10100100000111
pie.				10101110001101
asegurar				11000001111001
aseguran				11000001110111
contrapuestos				10101111111110
-				10010000111100
esposa:				10011010001100
Ninguno				10011010001110
rodearon				10011010001111
«Quien				10000111101011
mostrar				10100101010001
favorecidos				10010000111000
despartir				10010000111001
hágase				10000111101110
guardan				10001111111100
traella;				10100100111111
notable				10000111100110
concede				10110100111110
cuello				10100010000100
embestido				10101111111001
sábana				10000111100000
mujeres,				10001000000100
entregué				10001000001000
ti,				10001000001010
premio.				10001000001011
Ella				10100010101110
hacienda.				10100011100100
cupiese.				10100011100111
ofrecieron				10010101110010
pagalle				10010101110011
Veneciano:				10111100101001
procurarles				10010010011000
contento,				10010010011001
Digo				10001010010101
resolverse				10010010001011
llevan				10010010100000
importunaciones,				10010010100001
sale				10100011011001
ofuscan				10100100111001
Capitán				10011011100001
entendimiento				10010010100111
alma,				10100110011000
conocerse				01111101111100
hablan				01111101111111
leguas				10100110011010
dónde,				10100110011011
estará				10011110011011
desventuras.				01111100111000
estaño				01111100111001
vivos,				10000101001111
serlo.				10010000100111
punto,				10110011111100
serlo,				10110011111101
faltó				10000001110001
Acudió				10011010000001
curarle;				10000100000111
¡Pues				01111100001011
viuda,				10010101110111
Mirad				10001010111001
pareció,				10100110001010
asida				10100110001011
único				10011010000111
Presa,				11000000100011
Presa.				10100000001001
licor				11000000101001
conservan				11000000101111
soldadesca				10110110111010
Mira,				01111011101111
apartarse				11000011001101
viaje,				10001100101001
ardite,				10111110101001
quitaran,				10111110101010
viaje.				10111110101011
aquí?				10101010111011
ropa				10000000111111
almas				10000000111100
contraria				10000000111101
aquí.				10100111111010
entendiendo				10111000001000
Cervellón,				10001101110011
ventero-.				11000011101110
esposas				10111000001100
ventero-,				10111101100110
creer,				10000000111011
incita,				10111000001110
desdichada				01111111001010
nigromante				10110101100110
esforzados				01111111001100
cargar				01111111001101
Milán,				10010101110100
año,				10111011101110
proa,				10010111001001
